#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b_1,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference,input_position,distance,source_id,designation,ra,dec,l,b_2,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids,r_est,r_lo,r_hi,abs_Bp,abs_Bp_hi,abs_Bp_lo,abs_G,abs_G_hi,abs_G_lo,abs_Rp,abs_Rp_hi,abs_Rp_lo,abs_J,abs_J_hi,abs_J_lo,abs_H,abs_H_hi,abs_H_lo,abs_K,abs_K_hi,abs_K_lo
38,30,VII,,TYC 8961 618 1,HD 94305,10 51 06.01,-62 17 01.80,289.44,-2.61,WC6+O6-8,NM83,SB2,"NM83,SM89,Ni95,LM96",,12.0,11.73,,,,,,,10.055,9.763,9.21,,,,,"308.11083333333335,40.9525",0.0031959024368397064,2067769574681275904,Gaia DR2 2067769574681275904,308.10888797469744,40.95533817261956,79.84419962347039,0.697729690871494,328.6028654666293,56.90395445698308,0.7049942665665597,-5.367857457376376,-14.083301780531967,16.570005,17.687418,15.510403,0.04097720207927715,0.047223803513106975,0.05457744771610629,0.08530035440432507,0.09451068300863201,2.3039,2.975,2.57,250.38058,0.0,0.0,0.6795985,27,0,241,0,241,31,false,1.3815196742968388,0.011945591044472995,0.09318996,4.750848,1.1174126,2.1770153,0.21701998,-0.2211449,-0.10467049,false,1.1212,1.5135,1.308,200111,0,1.0596027,0.65550274,0.9203302,0.7879165,28,0.086013936,12.917318,0.19937864,-0.114072576,1163.0231539515853,7.810858759126874,148.89824,28,1.3924439,4439.606679722236,3.0632892007842676,1449.2941,249,0,5018.879806807503,9.783627904297166,512.9876,26,NOT_AVAILABLE,0.11144937,100001,0.07789253,,,1.9820684,2.3585272,2.3112922,46381173,0.20036197,-0.0303304,-0.22786711,2015.5,0,,,,1635721458409799680,3541.0,3862.665,3577.0,16,Gaia DR1 2067769570382789760,1364.47630233304,1268.00793616297,1476.40381963043,7.012588012888585,6.841392199519966,7.171808141494619,5.895175012888583,5.723979199519963,6.054395141494616,4.8355730128885845,4.664377199519965,4.994793141494618,-0.6198299871114159,-0.7910258004800355,-0.46060985850538216,-0.9118299871114157,-1.0830258004800353,-0.752609858505382,-1.4648299871114148,-1.6360258004800343,-1.305609858505381
39,30a,VII,MS 4,,MS 4,10 51 38.93,-60 56 35.20,288.9,-1.38,WO4+O5-5.5,"CDB98,GR00",SB2,"Ni95,GR99,GR00",,14.12,13.33,12.77,,,12.73,,,nan,nan,nan,,,,,"308.0129166666667,41.25552777777778",0.00030060466878800105,2067824545964503168,Gaia DR2 2067824545964503168,308.01256868068606,41.25567584802664,80.04307719906097,0.9342161188097047,328.7327747059084,57.20475119783304,0.535514717731435,-2.619458137119171,-4.156958748041403,12.872688,14.312145,11.662828,0.039148998995887946,0.04477594531132133,0.05097007517963608,0.0853712400457152,0.08380507971441778,2.104,2.5621,2.414,1898.1698,0.28158389868356287,30.78908369021708,31.923145,33,12,276,203,288,31,true,1.351371843761948,0.011425967711261503,0.058478244,10.9686985,1.4394569,2.6493168,0.23166843,-0.36546764,-0.10690071,false,1.0529,1.3188,1.205,200111,0,1.2098598,33.484043,44.825222,39.154633,34,0.112902716,10.5064535,0.08365362,-0.22607386,26043.366482865073,110.90694524342554,234.82178,32,1.4929988,133743.0242371577,54.14763031656671,2469.97,259,0,173634.8140193517,245.74170711940513,706.57446,30,NOT_AVAILABLE,0.007264455,100001,0.026862213,,,12.470575,20.006779,15.69521,1017539277,0.08708868,-0.039250176,-0.15134403,2015.5,0,,,,1635721458409799680,3228.0,4088.64,3644.505,17,Gaia DR1 2067824545964503168,1768.57796360109,1617.90131174714,1949.11609147676,3.074023952880779,2.8629564652988844,3.2673848643937387,1.63456695288078,1.4234994652988853,1.8279278643937396,0.4247069528807792,0.21363946529888445,0.6180678643937387,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,31,VII,HD 94546,HIP 53274,,10 53 44.83,-59 30 46.70,288.5,0.02,WN4o+O8V,SSM96,"SB2, VB","NM85,LM87,SM89,LM96,Hip97,GN99",,10.97,10.69,,10.38,10.95,10.56,,,9.172,8.962,8.688,,,,,"308.94620833333335,41.379086111111114",3.1322517186569805e-05,2067867358199590400,Gaia DR2 2067867358199590400,308.94617463161666,41.37906762845315,80.56047123181148,0.4450920516918908,329.98541805640684,56.995074876736474,0.8344785956889091,-2.9164062749390705,-3.8746915328414944,11.053686,13.014184,9.691701,0.286874439503244,0.3784221000437981,0.3675866196573428,0.6275442349502511,0.7855945135449646,2.2479,2.5807,2.394,41559.99,2.035787007833139,1444.6512582478813,145.58347,27,48,178,226,226,31,false,1.106627437606116,0.17656865804167854,0.39052346,0.22295012,1.9604979,3.322483,0.26173112,-0.16528222,-0.087078035,false,1.2052,1.3395,1.253,,0,1.3619852,,,,29,0.07748196,2.270155,0.015364612,-0.11809133,86075.90259049644,445.8916517294554,193.04219,26,1.614042,714285.5790279735,522.9682900463716,1365.8296,244,0,1066811.0154057797,3250.7586800687827,328.17294,27,NOT_AVAILABLE,0.09227028,100001,0.104185194,,,,,,601663464,-0.014614143,-0.05845286,-0.17905153,2015.5,0,,,,1635721458409799680,3965.005,4805.71,4485.3447,17,Gaia DR1 2067867358199590400,1249.04726444925,815.756318097672,2228.94930733297,2.5312896371880687,1.2736830425156143,3.4563817694085035,0.5707916371880692,-0.6868149574843851,1.495883769408504,-0.7911933628119314,-2.048799957484386,0.13389876940850343,-1.310894362811931,-2.5685009574843853,-0.3858022305914961,-1.5208943628119318,-2.778500957484386,-0.595802230591497,-1.794894362811931,-3.0525009574843853,-0.8698022305914961
41,31a,VII,He3-519,,He3-519,10 53 59.66,-60 26 44.30,288.94,-0.81,WN11h,SC94,,,,,,,,11.64,10.85,,,7.323,6.719,6.097,He 3-519,,8.0,SC94,"306.02583333333337,41.42583333333334",0.0002166870162612687,2068434332539101056,Gaia DR2 2068434332539101056,306.02577248190073,41.42604516210816,79.31126843017931,2.245285693675775,326.3836959552472,58.02409916253297,0.5067922402284366,-3.8380386055789257,-3.7067413760442554,13.765556,16.17088,12.267199,0.07172828987541192,0.0736729206553915,0.0850389307632391,0.15040994227396073,0.13603823552654498,2.7115,2.8611,2.799,2390.5803,0.6366441973110568,91.81745650756986,38.590267,24,2,207,0,209,31,false,1.197290905543477,0.021356835798503206,0.14801572,2.3339796,2.405323,3.9036808,0.31508625,-0.35554448,-0.010366703,false,1.3799,1.451,1.4227,,0,1.4983578,,,,25,-0.08947713,5.9595323,-0.2845675,-0.12502179,4701.145892181727,26.849532049214183,175.09229,24,1.7734191,58765.67677903217,38.15885864270326,1540.0271,217,1,99515.02758459593,439.96885036813137,226.18652,23,NOT_AVAILABLE,-0.18262841,100002,-0.0074800756,,,,,,1202192979,0.1783029,0.018941002,-0.48744532,2015.5,0,,,,1635721458409799680,3293.3333,3836.6165,3335.0,14,,1870.93239862257,1598.04138653836,2248.92021428725,4.810589521707822,4.411009759525772,5.152939886960933,2.405265521707822,2.0056857595257718,2.747615886960933,0.9069085217078214,0.5073287595257714,1.2492588869609325,-4.037290478292178,-4.436870240474228,-3.694940113039067,-4.641290478292178,-5.040870240474228,-4.298940113039067,-5.263290478292178,-5.662870240474228,-4.920940113039067
42,31b,VII,,HIP 53461,AG Car,10 56 11.58,-60 27 12.80,289.18,-0.7,WN11h,SC94,VB,HL93,,,,,7.0,7.74,7.21,,,5.42,5.084,4.531,AG Car,,6.0,SC94,"307.06058333333334,43.657111111111114",5.963695260916784e-05,2069091531258827648,Gaia DR2 2069091531258827648,307.0606311220126,43.65706251914179,81.57459529047945,2.913356926516886,329.66961770662874,59.65820923802854,0.532402952073666,-2.901400115052164,-3.680325615944202,12.802838,14.706278,11.459097,0.037402631454237084,0.0402162007720604,0.046469811877806126,0.08382762367301264,0.08240650768249375,2.5805,2.6971,2.6587,1711.5508,0.2398390187812564,24.62920383877869,29.75663,32,9,272,254,281,31,false,1.2689582060255242,0.011249669822635044,0.054855533,14.8476305,1.9034395,3.247181,0.2940936,-0.10599458,-0.02597056,false,1.3369,1.3934,1.3733,200111,0,1.3437414,26.34478,33.96102,30.1529,35,0.033044737,11.456964,-0.124888994,-0.043393515,18115.23669655223,156.51642041264867,115.740166,33,1.5956585,142630.06127148937,418.51178586934765,340.80298,307,1,209473.6311052563,2003.256772254532,104.56654,32,NOT_AVAILABLE,-0.07909801,100002,0.013335347,,,8.641678,13.822665,10.594106,812342927,0.1643239,-0.028406492,-0.16212179,2015.5,0,,,,1635721458409799680,3638.0,4601.0776,4155.5303,16,Gaia DR1 2069091526959577728,1784.81082229322,1645.46667177848,1949.1938193094,3.4483170467453146,3.257002871955658,3.624832548644701,1.5448770467453148,1.353562871955658,1.721392548644701,0.20113604674531516,0.009821871955658423,0.3776515486447014,-5.837960953254685,-6.0292751280443415,-5.6614454513552985,-6.173960953254685,-6.365275128044342,-5.997445451355299,-6.726960953254685,-6.918275128044342,-6.550445451355299
43,31c,VII,SMSP 4,,SMSP 4,10 57 43.00,-60 34 01.00,289.4,-0.72,WC6,"SM91,SMS99","a, d.e.l.","CM89,SS90,VII",,17.33,16.37,,,,,,,11.04,10.343,9.489,,,,,"305.1165833333333,43.854527777777776",3.316210724940096e-05,2081261372633822592,Gaia DR2 2081261372633822592,305.11654027825165,43.85451612425648,80.9302434751883,4.177120355101411,327.37022867668935,60.49202569100614,0.5815277697591581,-4.653065358399758,-2.0469535419792995,6.622556,6.923528,6.1990867,0.022758589814587667,0.030199736656065537,0.02855526528465885,0.049706036727164775,0.05564767804249329,,,,453.88947,0.0,0.0,9.288877,25,7,209,216,216,31,true,1.626692019861179,0.007052502228054736,0.041484274,197.84648,0.30097198,0.7244415,0.30168775,-0.38342226,-0.08864021,false,,,,200111,0,0.42346954,4487.205,5268.2607,4877.733,34,0.035182163,20.364992,-0.08455545,-0.0575243,23504121.29374378,33219.39367046946,707.5422,26,1.1849045,42298379.78769853,19791.647844133957,2137.1833,265,0,26615419.61675036,50407.500926820525,528.0051,28,NOT_AVAILABLE,0.0022689807,100001,0.1289104,,,62.11986,65.12939,63.632202,1312732473,0.18749052,-0.08426626,-0.33911633,2015.5,0,,,,1635721458409799680,5977.125,6120.1997,6047.033,16,Gaia DR1 2081261368330789632,1640.52483770414,1566.56822039223,1721.65719909145,-4.151386050160755,-4.256205414556034,-4.051218560706494,-4.452358050160755,-4.557177414556034,-4.352190560706494,-4.875827350160756,-4.980646714556035,-4.775659860706495,-0.034914050160756105,-0.13973341455603538,0.06525343929350491,-0.7319140501607553,-0.8367334145560346,-0.6317465607064943,-1.5859140501607545,-1.6907334145560338,-1.4857465607064935
728,31-1,MSA16,THA 35-II-153,,,10 59 00.80,-60 08 50.24,289.79,-1.18,O3.5If/WN7,MSA16,,,,,,,,,13.3,,,9.47,8.97,8.65,,,,,"316.7986666666667,48.426722222222224",2.343157297384269e-05,2165537770680635904,Gaia DR2 2165537770680635904,316.79870197249676,48.426722622727105,89.52650425273517,0.6531073672257244,346.15712495186824,60.119908706182166,0.16455369216018306,-3.0652448402498313,-2.4170923496678927,13.351808,14.35057,12.341006,0.017994917890770047,0.018923620119523532,0.02196452307361103,0.03528284939455603,0.03386440577741745,0.8643,1.6734,1.18,235.0342,0.07280271909647473,1.182148435150622,2.4312375,22,0,190,0,190,31,false,1.393902452529719,0.005548649871839009,0.043404195,68.451965,0.99876213,2.0095634,0.3092038,-0.25294766,-0.18315077,false,0.4104,0.769,0.592,,0,1.0108013,,,,25,-0.05406973,7.4917946,0.10361189,-0.20386142,25137.795992324987,301.73247161580866,83.31154,23,1.3730088,86024.68684803629,312.4868734492173,275.29056,216,0,92974.86166537605,1100.4745500030601,84.48615,23,NOT_AVAILABLE,0.07586176,100001,0.17590441,,,,,,1387245646,0.30158722,-0.08425354,-0.26371765,2015.5,0,,,,1635721458409799680,3605.0,4027.6667,3685.5,14,Gaia DR1 2165537766371737984,5009.4434502442,4511.00704015819,5622.64137340882,0.8516226081030513,0.6008680801557773,1.0792024755738847,-0.1471393918969479,-0.39789391984422195,0.08044047557388545,-1.157941391896948,-1.408695919844222,-0.9303615244261145,-4.028947391896947,-4.279701919844221,-3.801367524426114,-4.528947391896947,-4.779701919844221,-4.301367524426114,-4.848947391896948,-5.099701919844222,-4.621367524426114
44,32,VII,MS 5,,MS 5,10 59 52.94,-59 52 43.20,289.36,0.02,WC5+OB?,VI,d.e.l.,"CM89,SS90,VII",,17.19,15.9,15.06,,,,,,11.717,11.042,10.229,,,,,"310.33979166666666,52.587555555555554",4.1079291794676235e-05,2182307453299864064,Gaia DR2 2182307453299864064,310.33974574334053,52.58752540490282,90.08112527938113,6.469393072820903,344.5189746915573,65.91549853803808,-0.001489065210195866,-5.706994469947251,-3.1754524404433004,10.154514,10.530312,9.611849,0.023839823279983432,0.025588642650878953,0.02787971958367635,0.049636136061845505,0.048777370887503106,,,,372.2274,0.0,0.0,7.068384,24,3,202,205,205,31,true,1.5655541477960322,0.006859323083234767,0.038082927,279.83496,0.37579727,0.91846275,0.29932874,-0.21010672,-0.29564786,false,,,,,0,0.5426655,,,,27,-0.045307457,-0.053410336,-0.05185664,-0.31549734,848067.8045876597,5695.218876707882,148.90872,22,1.2209127,1635085.3429093468,3151.825675946681,518.77405,232,0,1148228.6600823735,6975.8765104948625,164.59991,23,NOT_AVAILABLE,0.04029415,110001,0.0701514,,,,,,1147043782,0.083203286,-0.22809032,-0.1609465,2015.5,0,,,,1635721458409799680,5377.8,5649.37,5446.0503,15,Gaia DR1 2182307448995333120,12682.236110412,10143.633527091,16145.3088207255,-4.9856671718270675,-5.509919782180672,-4.5006557523545165,-5.361465171827067,-5.885717782180672,-4.876453752354516,-5.9041301718270685,-6.428382782180673,-5.4191187523545175,-3.7989791718270673,-4.323231782180672,-3.3139677523545163,-4.473979171827068,-4.998231782180673,-3.988967752354517,-5.286979171827069,-5.811231782180673,-4.801967752354518
45,33,VII,HD 95435,GSC 8623-0928,,11 00 00.72,-57 48 59.50,288.51,1.9,WC5; WC6,SS90; CDB98,,,12.43,12.51,12.35,12.48,,,,,,10.62,10.348,9.693,,,,,"332.3894583333333,57.74186111111111",9.199733229497758e-05,2198726735323427072,Gaia DR2 2198726735323427072,332.3893202626124,57.741806040031136,102.65707692609719,1.38876048951135,13.027324816092634,60.95828099879317,0.12873184474763977,-3.030519474054957,-1.520770969269417,11.707976,12.288239,10.946164,0.031822789166724985,0.030019115140103393,0.03654575802804669,0.06363542405461112,0.05716002715034587,,,,436.41638,0.0,0.0,10.695416,19,3,165,168,168,31,true,1.5061545304244877,0.008665861536768552,0.043601673,372.55032,0.5802622,1.3420744,0.10699731,-0.22320028,-0.2562929,false,,,,,0,0.7618122,,,,37,0.01788478,3.5224838,0.202716,-0.15114376,167980.82544680889,1048.7499643473595,160.17242,33,1.2889421,390981.24566275853,788.5436961304114,495.827,317,0,335971.36721896863,2042.0788683891512,164.52419,32,NOT_AVAILABLE,0.022681013,100001,0.11517907,,,,,,298426302,0.28130662,-0.15401377,-0.29593098,2015.5,0,,,,1635721458409799680,4579.0,5018.3335,4789.5,16,Gaia DR1 2198726731009895168,5767.77994161209,4772.64532252503,7186.40312309869,-1.5168044118451007,-1.9943188770531322,-1.1055568056112293,-2.097067411845101,-2.5745818770531326,-1.6858198056112297,-2.858879411845102,-3.3363938770531334,-2.4476318056112305,-3.1850434118451023,-3.6625578770531337,-2.773795805611231,-3.4570434118451008,-3.934557877053132,-3.0457958056112293,-4.112043411845102,-4.589557877053133,-3.7007958056112304
46,34,VII,Ls 5,,,11 00 06.44,-61 26 29.90,290.03,-1.39,WN5o,SSM96,,,,15.26,14.5,,,,,,,11.204,10.586,10.036,,,,,"103.554375,-22.071638888888888",0.0017411932894655987,2925846208686847360,Gaia DR2 2925846208686847360,103.55250527353388,-22.071810637920215,233.05570245814184,-9.286339443540014,107.78242967815615,-44.67801737271052,-0.458588496657972,-0.5693536391221751,2.466674070751968,19.890244,20.28191,19.228632,0.19569827172182644,0.3757747118247483,0.5137518542560994,0.4454718392540317,0.9919258614072286,,,,596.2867,0.0,0.0,-0.7489737,72,6,628,0,634,31,false,1.5585510283749318,0.06678479775584566,0.8898721,0.101278596,0.3916664,1.053278,0.083171286,0.17043611,-0.13985832,false,,,,,0,0.66161156,,,,75,-0.03368046,-0.89262646,0.12082528,-0.016196081,106.60831166737364,4.190587283952197,25.439945,68,1.2946912,208.56872589121437,0.6414896736219818,325.13187,653,0,163.42378010826573,5.138700062721857,31.802553,64,NOT_AVAILABLE,-0.38533264,,-0.057651866,,,,,,1196091663,0.01405411,0.10443009,-0.6942573,2015.5,0,,,,1635721458409799680,,,,16,Gaia DR1 2925846208686847360,3582.79064110834,2070.45890509606,6020.3892892765,7.510802844555812,6.383787127831752,8.70157692522152,7.119136844555811,5.992121127831751,8.30991092522152,6.457524844555813,5.330509127831753,7.648298925221521,-1.5671071554441873,-2.694122872168247,-0.3763330747784792,-2.1851071554441877,-3.3121228721682474,-0.9943330747784795,-2.7351071554441884,-3.862122872168248,-1.5443330747784803
47,35,VII,MS 6,,MS 6,11 00 22.10,-61 13 51.00,289.97,-1.19,WN6h+OB?,SSM96,d.e.l.,"CM89,VII",14.72,14.49,13.9,13.37,,,,,,nan,nan,nan,,,,,"109.621375,-12.782916666666667",0.0030782620774664196,3033065329887176832,Gaia DR2 3033065329887176832,109.62142743736048,-12.785994503956559,227.36930532829885,0.07327529871282022,113.4556256098294,-34.64124691285246,0.15113815931861113,0.055870636279230154,1.4318010809827337,18.173283,18.738066,17.475122,0.1273706963531593,0.1327633344308619,0.18266486024889395,0.27322579907856254,0.24364065782979122,,,,284.08078,0.21131449755819673,0.37497478462025047,1.7533838,29,0,249,0,249,31,false,1.5714923724418228,0.029984195950207373,0.2671835,0.7827705,0.5647831,1.2629433,0.22563246,0.2062457,0.38217828,false,,,,,0,0.6981602,,,,32,0.0063143973,0.8274069,-0.10738723,0.27062434,441.90515147266825,6.190816668824705,71.38075,28,1.2461842,1013.9884254695679,1.7137095577000228,591.69214,269,0,821.7111838139208,6.443158189502745,127.532364,30,NOT_AVAILABLE,-0.2957563,,-0.1687967,,,,,,705489119,0.06576997,0.300305,0.16202445,2015.5,0,,,,1635721458409799680,,,,13,Gaia DR1 3033065325587469568,3534.33785979028,2349.59474346845,5574.7694944624,5.996525685536902,5.006931425571759,6.883101190455731,5.4317426855369035,4.4421484255717605,6.318318190455733,4.733581685536901,3.743987425571758,5.62015719045573,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,35a,VII,SMSP 5,,SMSP 5,11 00 24.50,-59 59 36.00,289.46,-0.06,WN6h+O8.5V,SMS99; GCB14,SB2,GCB14,,14.78,13.92,,,,,,,10.467,9.975,9.649,,,,,"271.96458333333334,-34.827777777777776",0.0004547499160513364,4039077546887427328,Gaia DR2 4039077546887427328,271.9650077846355,-34.82748554447717,357.24152351957144,-7.02703198546693,271.6454031789868,-11.399427514236903,0.289821670469537,-2.022340602737107,-3.919187378588095,19.216003,19.387371,18.407366,0.38111070507750566,0.3548389862183455,0.3786108382372078,0.8295670942238196,0.6931163817324456,,,,140.32123,0.9629409967408462,1.47449820446424,1.1613191,15,2,127,0,129,31,false,1.5522459196118368,0.09090550619041632,0.8549792,0.17402816,0.17136765,0.98000526,-0.35018125,-0.3762956,-0.3262079,false,,,,,0,0.8086376,,,,15,0.2153834,0.765487,0.11228588,-0.12481428,243.00048526366132,19.720754658327145,12.322068,9,1.5233012,388.10115606594115,1.3388979303303195,289.86612,127,0,348.19447598296995,34.33058934046008,10.142397,11,NOT_AVAILABLE,0.4749009,,0.4188965,,,,,,1686419249,-0.011570872,-0.38871247,-0.34044608,2015.5,0,,,,1635721458409799680,,,,10,Gaia DR1 4039077546887427328,4340.74628152915,2082.3278946068,8517.9274066909,6.199548990585432,4.735701327420713,7.794625415419365,6.028180990585431,4.564333327420712,7.6232574154193635,5.21954399058543,3.7556963274207114,6.814620415419363,-2.7208220094145688,-4.184669672579288,-1.1257455845806366,-3.2128220094145696,-4.676669672579289,-1.6177455845806374,-3.53882200941457,-5.002669672579289,-1.943745584580638
49,35b,VII,SMSP 6,,SMSP 6,11 01 02.30,-60 14 01.00,289.63,-0.24,WN4b,SMS99,,,,15.76,14.49,,,,,,,10.949,10.351,9.757,Sher 1,,,,"270.42975,-31.284666666666666",0.0008160520107230492,4043909277813184000,Gaia DR2 4043909277813184000,270.43044607544823,-31.2852253070926,359.73589283548284,-4.191633981057713,270.3713451404782,-7.846499352099461,-0.030097763712430357,1.1766428108024565,-3.3700153484751993,19.000845,19.41659,17.67066,0.46519467221136923,0.42662239278608916,0.3619186217657629,0.8465863064788073,0.760756432294118,,,,132.9395,0.7191556382844143,0.8609035335387588,2.0917559,12,0,106,0,106,31,false,1.568139655652493,0.09496962342075212,0.9703853,0.22754763,0.41574478,1.7459297,-0.21022978,-0.65520084,-0.37063327,false,,,,,0,1.3301849,,,,14,0.22823188,-0.08316169,0.14992167,-0.17765042,236.54822684116365,26.357772262547684,8.974515,10,1.9503611,473.1599386839662,2.278084750813132,207.70076,108,0,686.2845146627872,35.36406537263903,19.406267,9,NOT_AVAILABLE,0.5742543,,0.6445859,,,,,,322171730,-0.0902708,-0.4368966,-0.50519764,2015.5,0,,,,1635721458409799680,,,,9,Gaia DR1 4043909277813184000,5418.28819310826,2833.56680633594,9806.49116938375,5.747279495085683,4.459021792033457,7.154922718216309,5.331534495085686,4.04327679203346,6.739177718216311,4.001349495085686,2.7130917920334596,5.408992718216311,-2.720310504914316,-4.008568207966542,-1.3126672817836909,-3.318310504914315,-4.606568207966541,-1.9106672817836898,-3.9123105049143163,-5.200568207966542,-2.504667281783691
50,36,VII,Ls 6,GSC 8627-1968,,11 02 32.87,-59 26 21.50,289.48,0.56,WN5-6b+OB?,SSM96,d.e.l.,"CM89,VII",14.76,14.38,13.7,13.17,,,,,,nan,nan,nan,,,,,"264.2234166666667,-33.95644444444444",0.0007274512161580034,4053680401294189568,Gaia DR2 4053680401294189568,264.22256025550706,-33.95628769060326,354.7551710109943,-1.0762901647048069,265.12678898946785,-10.614688240704492,1.0062733558173975,3.0274650967860137,3.225788265418514,19.354618,,,0.4454252592417419,0.3319600272439999,0.4629896786834901,1.8902245819242098,1.3207381362955843,,,,137.0811,0.962436578474608,1.2541028641961867,1.4155798,14,1,120,0,121,31,false,1.4399835659000235,0.09048764147879877,1.9702337,0.15331082,,,-0.10039796,-0.088294595,-0.020109002,false,,,,,0,,,,,14,0.2769451,2.173425,0.51991946,0.4443295,,,,0,,341.585124027122,2.3866550185702544,143.12296,121,2,,,,0,NOT_AVAILABLE,0.8673725,,0.44543156,,,,,,240413780,0.039923802,0.13607952,0.15148768,2015.5,0,,,,1635721458409799680,,,,9,,1618.00670584097,785.475906435916,5403.86750058031,,,,8.309716413916338,5.691094540729946,9.878953659500752,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,37,VII,MS 7,,,11 05 13.92,-61 20 41.40,290.55,-1.05,WN4b,SSM96,,,17.77,17.0,15.77,14.86,,,,14.9,,11.027,10.339,9.672,,,,,"264.08233333333334,-32.56363888888889",0.0007786738342327921,4054572105237386624,Gaia DR2 4054572105237386624,264.0824474565304,-32.5644115996841,355.86563644628916,-0.22888644644029432,264.9498159908941,-9.228810869235119,,,,20.429497,20.227318,18.513842,4.276088295457169,3.1192487333874444,,,,,,,186.34816,4.795822816640534,10.785529535545448,4.813144,12,1,107,0,108,3,false,,,8.743106,0.016326595,-0.20217896,1.7134762,,,,false,,,,,0,1.9156551,,,,12,0.30693436,,,,112.10573953142926,17.01556411697775,6.5884233,11,3.3702857,126.92517270366147,1.4539856580652217,87.294655,107,0,315.6683588859085,11.892057615037,26.54447,12,NOT_AVAILABLE,,,0.9453652,,,,,,1488140908,,,,2015.5,0,,,,1635721458409799680,,,,8,,,,,,,,,,,,,,,,,,,,,,
52,38,VII,MS 8,,MS 8,11 05 46.52,-61 13 49.10,290.57,-0.92,WC4,VI,,,16.83,16.33,15.4,14.73,,,14.66,,,11.991,11.497,10.793,C1104-610a,,10.0,WG05,"263.27975,-32.360083333333336",0.0015218760020249283,4054824163970991104,Gaia DR2 4054824163970991104,263.28075453058983,-32.36134670850996,355.6699417769796,0.44970046061640295,264.256248617085,-9.055938627130159,-0.2607835351055415,-1.194831008082161,-4.403263227940216,18.343254,19.724463,17.070393,0.2268759385634058,0.1927789290579685,0.2489783307603565,0.4062065183367049,0.29859231539997577,,,,184.79367,0.37945203931324506,0.8324573492107912,1.7980161,18,1,157,0,158,31,false,1.3103902560389773,0.04717802022613488,0.41936284,0.58731455,1.3812084,2.65407,-0.37241182,-0.6507604,-0.34773177,false,,,,,0,1.2728615,,,,18,0.20226406,-1.0474145,0.2722271,-0.34925357,178.14346624115453,10.36156710857627,17.192715,18,1.5812935,867.0507163263945,1.7530443724304532,494.59714,157,0,1192.918118165318,15.812004464504144,75.443825,17,NOT_AVAILABLE,0.34904313,,0.47303078,,,,,,481655793,-0.013763349,-0.5267493,-0.45578268,2015.5,0,,,,1635721458409799680,,,,10,Gaia DR1 4054824163970991104,6355.61918941812,3833.90339024589,10358.7505131766,5.708673661861466,4.647926133165612,6.8062571750932985,4.327464661861468,3.2667171331656135,5.4250481750933,3.0546036618614654,1.993856133165611,4.152187175093298,-2.0247893381385342,-3.0855368668343885,-0.9272058249067019,-2.518789338138534,-3.5795368668343883,-1.4212058249067017,-3.2227893381385346,-4.283536866834389,-2.1252058249067023
