19 10 06.40,+09 45 25.7
19 10 11.53,+08 58 39.6
19 11 30.88,+16 51 38.20
19 12 24.05,+09 57 29.1
19 12 24.17,+09 57 28.6
19 13 19.19,+09 55 29.0
19 13 24.01,+11 43 24.3
19 14 40.73,+11 54 15.4
19 15 37.26,+11 25 26.3
19 15 52.52,+11 12 59.7
19 16 18.38,+12 46 49.2
19 17 22.20,+12 13 09.2
