#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference
107,48a,VII,D83 1,,,13 12 39.65,-62 42 55.80,305.36,0.06,WC8ed+?,HH88,"CWB, VB?","Wi97,Wi99,Wi02",,18.5,16.8,,,,,,,8.74,6.8,5.09,C1309/10-624?,,3.6,LS84
108,48-5,SM09,SMG09 847_8,,2MASS J13124535-6305520,13 12 45.35,-63 05 52.00,305.34,-0.33,WN6; WN6b,SMG09; RC15,,,,,,,,,,,,13.06,11.34,10.26,,,,
109,48c,VII,SMSNPL 9,,SMSNPL 9,13 12 52.21,-63 23 46.40,305.33,-0.62,WN3h/C4,SMS99,,,,14.37,13.98,,,,13.44,,,11.863,11.521,11.16,,,,
110,48-2,MV09,MV09 J13125770-6240599,DCT12 D2-3,,13 12 57.70,-62 40 59.90,305.4,0.09,WC8; WC7-8,MV09; DCT11,,,,,,,,18.8,,15.7,,10.825,9.83,8.981,Danks 2,,3.8,DCT12
111,49,VII,LSS 2979,GSC 8998-0104,Th17-22,13 13 51.33,-65 18 08.80,305.27,-2.53,WN5(h),SSM96,,,14.48,14.18,13.84,13.53,,,,,,11.891,11.568,11.209,,,,
590,49-1,MDM11,MDM11 9,,,13 14 57.04,-62 23 53.3,305.65,0.35,WN8,MDM11,,,,,,,,,,,,13.82,11.88,10.67,,,,
112,50,VII,,GSC 8994-2101,V864 Cen,13 18 01.07,-62 26 04.50,306,0.28,WC7+OB,SS90,SB2,"CM89,GH90,SS90,GV91,VII",13.44,13.03,12.49,11.94,12.66,12.72,11.86,11.4,,9.753,9.384,8.811,,Anon. Cen OB?,,
113,51,VII,MR45,,Th17-85,13 18 22.80,-62 28 21.00,306.04,0.24,WN4o,SSM96,d.e.l.,"CM89,VII",16.22,15.68,14.64,13.91,,,,12.6,,10.896,10.328,9.888,,Anon. Cen OB?,,
114,52,VII,,HIP 64929,HD 115473,13 18 28.00,-58 08 13.60,306.5,4.54,WC4,SS90,,NG99a,9.91,10.15,9.86,10.01,9.09,9.71,9.25,,,8.411,8.206,7.555,,,,
115,52-1,SM09,SMG09 853_9,,2MASS J13221608-6230574,13 22 16.08,-62 30 57.40,306.48,0.14,WN6,SMG09,,,,,,,,18.2,,16.6,,14.77,12.69,11.55,,,,
116,52-2,SM09,SMG09 858_26,,2MASS J13281587-6206235,13 28 15.87,-62 06 23.50,307.22,0.46,WN6,SMG09,,,,,,,,,,18.7,,12.53,11.4,10.68,,,,
117,53,VII,HD 117297,HIP 65925,,13 30 53.26,-62 04 51.80,307.53,0.44,WC8; WC9; WC8d,SS90; CDB98; WH00,,,11.66,11.3,10.88,10.97,10.81,11.11,10.77,,,8.745,7.915,6.835,,,,
118,54,VII,MR 48,GSC 8999-3295,Th17-89,13 32 43.79,-65 01 27.90,307.27,-2.5,WN5o,SSM96,,,,13.45,12.99,,,,,12.8,,10.851,10.48,10.094,,,,
119,55,VII,HD 117688,HIP 66142,,13 33 30.13,-62 19 01.20,307.8,0.16,WN7o,SSM96,,MMH98,,11.27,10.87,,8.69,10.84,10.39,,,8.774,8.489,8.005,,,,
120,56,VII,Ls 8,GSC 8999-1206,Ls 8,13 33 45.37,-64 07 31.50,307.53,-1.63,WC7,HH88,,,14.53,14.31,13.87,13.74,,,,,,Nan,Nan,Nan,,,,
121,56a,VII,SMSNPL 10,,SMSNPL 10,13 41 14.27,-60 53 52.50,308.95,1.39,WN6o,SMS99,,,,17.23,15.91,,,,,,,Nan,Nan,Nan,,,,
732,56-1,RC17,RC17 B37,,,13 41 50.01,-62 20 25.8,308.7434,-0.0387,WN5o,RC17,,,,,,,,,,,,14.94,13.21,12.18,,,,
122,57,VII,,HIP 66948,HD 119078,13 43 16.37,-67 24 04.90,307.89,-5.03,WC8,SS90,,,10.17,10.12,10.02,10.29,9.11,9.8,9.64,,,9.088,8.752,8.01,,,,
591,57-1,MDM11,MDM11 10,,,13 44 06.95,-62 45 02.1,308.92,-0.49,WN7,MDM11,,,,,,,,,,,,15.01,12.77,11.46,,,,
123,58,VII,MR 51,GSC 9016-1189,LSS 3162,13 49 04.52,-65 41 56.00,308.82,-3.49,WN4b/CE,SSM96,,,13.68,13.62,13.05,12.79,12.74,13.11,12.77,,,11.304,10.984,10.541,,,,
124,59,VII,,GSC 9004-3553,LSS 3164,13 49 32.66,-61 31 42.20,309.8,0.57,WC9d,HH88,,,,15.14,13.9,13.4,12.09,11.99,11.69,,,8.795,7.709,6.609,,,,
125,59-1,SM09,SMG09 883_18,,2MASS J13520236-6226460,13 52 02.36,-62 26 46.00,309.88,-0.39,WCE,SMG09,,,,,,,,,,,,14.59,12.41,10.99,,,,
126,59-2,SM09,SMG09 885_11,,2MASS J13541345-6150018,13 54 13.45,-61 50 01.80,310.27,0.14,WC5-6,SMG09,,,,,,,,,,,,13.6,12.07,10.86,,,,
127,60,VII,,,HD 121194,13 55 48.46,-61 09 48.4,310.61,0.74,WC8,VI,,,14.92,14.29,13.25,12.51,14.34,13.72,12.17,,,Nan,Nan,Nan,,,,
592,60-3,MDM11,MDM11 11,,,14 01 15.49,-62 38 19.9,310.86,-0.85,WC7,MDM11,,,,,,,,,,,,14.87,12.84,11.56,,,,
733,60-7,RC17,RC17 B51,,,14 02 33.44,-61 20 27.2,311.3533,0.3626,WC7-8,RC17,,,,,,,,,,,,13.28,11.57,10.28,,,,
593,60-4,MDM11,MDM11 12,,,14 04 36.67,-61 29 16.5,311.55,0.15,WC8,MDM11,,,,,,,,,,,,15.58,12.71,11,,,,
511,60-5,R11b,WR60a,,,14 06 03.61,-60 27 29.5,312.008,1.092,WC5-7; WC7,R11b; RC15,,,,,,,,,15.35,,,10.84,10.12,9.39,,,,
643,60-6,CBB12,VVV CL036-9,,,14 09 04.30,-61 15 53.78,312.12,0.21,WN6,CBB12,,,,,,,,,,,,13.37,10.66,9.16,VVV CL036,,2,CBB12
128,60-1,SM09,SMG09 897_5,,2MASS J14101001-6115255,14 10 10.01,-61 15 25.50,312.25,0.18,WC8,SMG09,,,,,,,,,,,,15.3,12.43,10.6,,,,
734,60-8,RC17,RC17 B56,,,14 12 15.19,-61 42 45.2,312.3517,-0.3277,WN6o,RC17,,,,,,,,,,,,14.9,12.98,11.76,,,,
130,60-2,SM09,SMG09 903_15c,,2MASS J14123654-61453276,14 12 36.54,-61 45 32.70,312.38,-0.38,WC8,SMG09,,,,,,,,,,,,13.58,11.33,9.71,,,,
131,61,VII,MR 53,HIP 69445,CF Cir,14 13 03.53,-65 26 52.70,311.28,-3.91,WN5o,SSM96,,,12.8,12.77,12.41,12.24,11.93,12.51,12.32,,,10.958,10.666,10.351,,,,
132,61-2,SM09,SMG09 907_18,,2MASS J14162737-6117562,14 16 27.37,-61 17 56.20,312.96,-0.09,WN5b,SMG09,,,,,,,,,,,,13.6,11.39,10.01,,,,
594,61-3,MDM11,MDM11 13,,,14 20 30.74,-60 48 22.1,313.58,0.21,WC9,MDM11,,,,,,,,,,,,13.62,11.63,10.38,,,,
129,61-1,MV09,,,2MASS J14212314-6018041,14 21 23.14,-60 18 04.10,313.86,0.65,WN6,MV10,,,,,,,,,,,,11.68,10.425,9.619,,,,
133,62,VII,NS 2,,,14 31 06.10,-61 20 58.30,314.59,-0.75,WN6b,SSM96,,,16.63,15.82,14.22,,,,,,,9.108,8.347,7.752,,,,
134,62a,VII,SMSNPL 11,,SMSNPL 11,14 32 38.18,-61 29 55.40,314.7,-0.96,WN4-5o; WN5+O5.5-6; WN6o,SMS99; CGB13; RC17,SB2 (P=9.1d),CGB13,,15.04,13.8,,,,,,,Nan,Nan,Nan,,,,
724,62-2,CRB15,VVV CL041-8,,,14 46 26.41,-59 23 28.83,317.109,0.277,WN8-9h,CRB15,,,,,,,,,,,,8.41,7.42,6.87,VVV CL041,,4.2,CRB15
135,62b,VII,SMSNPL 12,,SMSNPL 12,14 46 41.01,-61 06 56.50,316.4,-1.29,WN5o,SMS99,,,,19.03,17.26,,,,,,,Nan,Nan,Nan,,,,
659,62-1,AGK11,AX J144701-5919,,,14 46 53.58,-59 19 38.3,317.188,0.311,WN7-8h,AGK11,,,,,,,,,,,,8.93,7.6,6.82,,,,
136,63,VII,LSS 3289,GSC 8692-0361,,14 50 58.31,-59 51 26.70,317.42,-0.39,WN7o+OB,SSM96,"a, d.e.l.","CM89,SS96,VII",14.96,14.1,12.83,11.9,14.37,13.87,12.34,10.8,,8.595,8.07,7.637,,,,
137,64,VII,BS 3,,BS 3,14 56 55.30,-55 50 58.00,319.95,2.82,WC7,VI,,,,15.73,15.57,,,,,,,12.498,12.031,11.329,,,,
735,64-2,RC17,RC17 B85,,,15 01 14.05,-58 49 07.4,319.0607,-0.0724,WN6o,RC17,,,,,,,,,,,,14.46,12.88,11.89,,,,
138,64-1,SM09,SMG09 956_25,,2MASS J15013011-5916120,15 01 30.11,-59 16 12.00,318.88,-0.49,WN4b,SMG09,,,,,,,,,,,,13.84,11.83,10.64,,,,
736,64-3,RC17,RC17 B87,,,15 02 46.14,-58 27 06.5,319.412,0.1535,WN6o,RC17,,,,,,,,,,,,12.39,11.04,10.18,,,,
737,64-4,RC17,RC17 B88,,,15 04 11.15,-58 27 21.5,319.5721,0.0601,WN6o+OB,RC17,,,,,,,,,,,,11.35,10.01,9.1,,,,
738,64-5,RC17,RC17 B91,,,15 07 31.84,-58 15 09.6,320.054,0.0209,WN6o,RC17,,,,,,,,,,,,13.11,11.66,10.8,,,,
739,64-6,RC17,RC17 B93,,,15 10 57.65,-57 57 28.5,320.5939,0.0474,WN6b,RC17,,,,,,,,,,,,13.84,12.19,11.11,,,,
139,65,VII,Wra 1297,,Wra 1297,15 13 41.68,-59 11 43.30,320.27,-1.2,WC9d+OB?,VI,d.e.l.,"CM89,SS90,VII",16.85,15.91,14.5,13.29,16.25,15.59,13.66,,,Nan,Nan,Nan,,Cir OB1,,
140,66,VII,HD 134877,HIP 74634,,15 14 57.72,-59 50 30.20,320.07,-1.83,WN8(h),SSM96,"no d.e.l., SB1?, VB","CM89,AB95,RG96,Hip97,MMH98,VII",12.81,12.39,11.66,11.13,12.23,12.26,11.38,,,8.928,8.481,8.148,,Cir OB1,,
141,67,VII,MR 55,GSC 8706-0600,LSS 3329,15 15 32.61,-59 02 30.80,320.55,-1.19,WN6o,SSM96,d.e.l.,"CM89,VII",13.32,12.99,12.12,11.61,12.61,12.62,11.88,,,9.278,8.858,8.452,Pi 20:,Cir OB1,3.5,MA01
663,67-3,MMV13,G321.0331-0.4274,,,15 15 39.44,-58 08 16.0,321.0331,-0.4274,WN10,MMV13,,,,,,,,,,,,9.37,8.46,7.74,,,,
142,67-1,R11a,WR67a,,,15 16 36.96,-58 09 58.70,321.13,-0.52,WN6h,R11a,,,,,,,,16.25,14.75,,,9.86,9.18,8.82,,,,
143,67-2,R11a,WR67b,,,15 17 46.30,-57 56 59.20,321.37,-0.42,WC8; WC7,R11a; RC15,,,,,,,,19.35,17.25,,,10.34,9.26,8.46,,,,
144,68,VII,BS 4,,BS 4,15 18 21.00,-59 38 10.00,320.54,-1.88,WC7,VI,,,,15.06,14.09,,14.83,14.33,13.71,12.7,,9.898,9.385,8.749,,Cir OB1,,
145,68-1,SM09,SMG09 979_11,,2MASS J15203591-5727119,15 20 35.91,-57 27 11.90,321.95,-0.2,WN4b,SMG09,,,,,,,,,,,,13.88,12.15,11.06,,,,
146,68a,VII,SMSNPL 13,,SMSNPL 13,15 23 16.56,-57 44 19.30,322.1,-0.63,WN6o+O5.6-6; WN6o,SMS99; RC17,SB2,CGB15,,15.87,14.41,,,,,,,9.588,9.02,8.617,,,,
147,69,VII,,HIP 75377,HD 136488,15 24 11.31,-62 40 37.50,319.48,-4.82,WC9d+OB,WH00,SB2,"MMH98,NG99a,WH00",,9.57,9.43,,9.1,9.55,9.24,,,7.955,7.278,6.403,,,,
148,70,VII,,HIP 75863,HD 137603,15 29 44.70,-58 34 51.20,322.34,-1.81,WC9vd+B0I,Ni95,SB2,"Go87,SM89,Ni95,Wi97,NG99a,Wi02",11.79,11.06,10.1,9.48,11.11,11.02,9.78,,,7.067,6.557,5.744,,,,
149,70-1,MV09,MV09 J15352652-5604123,WM10 9,,15 35 26.52,-56 04 12.30,324.41,-0.2,WN7,MV09,,,,,,,,,,,,13.84,12.39,11.457,,,,
740,70-13,RC17,RC17 B105,,,15 37 46.51,-56 08 45.2,324.6325,-0.4487,WC8d,RC17,,,,,,,,,,,,13.12,11.38,9.96,,,,
741,70-14,RC17,RC17 B107,,,15 39 17.02,-55 49 18.9,324.9945,-0.3129,WN4b,RC17,,,,,,,,,,,,14.12,12.58,11.5,,,,
150,70-3,SM09,SMG09 1011_24,,2MASS J15430468-5511123,15 43 04.68,-55 11 12.30,325.81,-0.13,WC8; WC7,SMG09; RC15,,,,,,,,19.93,17.31,16.06,,10.96,9.94,9.06,,,,
151,70-4,WM10,WM10 10,,2MASS J15455914-5332325,15 45 59.14,-53 32 32.50,327.14,0.92,WN9h,WM10,,,,,,,,,,,,14.576,12.217,10.874,,,,
152,70-5,WM10,WM10 11b,,2MASS J15484210-5507542,15 48 42.10,-55 07 54.20,326.47,-0.58,WC9,WM10,,,,,,,,,,,,11.185,9.708,8.49,,,,
512,70-10,SFZ12,1023-63L,,,15 52 08.50,-54 16 58.0,327.39,-0.23,WC7: or [WC7],SFZ12; KSF16,,,,,,,,,,,,16.13,15.06,14.37,,,,
595,70-6,MDM11,MDM11 14,,,15 53 31.85,-53 45 44.3,327.88,0.05,WN5b; WN6b,MDM11; RC15,,,,,,,,,,,,15.16,12.51,10.97,,,,
596,70-7,MDM11,MDM11 15,,,15 58 49.71,-52 51 32.4,329.07,0.23,WN6b,MDM11,,,,,,,,,,,,15.94,13.05,11.36,,,,
597,70-8,MDM11,MDM11 16,,,15 58 54.93,-52 02 45.5,329.6,0.84,WN7,MDM11,,,,,,,,,,,,15.64,12.59,10.91,,,,
742,70-15,RC17,RC17 B123,,,15 58 57.97,-52 46 05.4,329.1414,0.2865,WN5o,RC17,,,,,,,,,,,,15.61,13.59,12.4,,,,
153,70a,VII,SMSNPL 14,,SMSNPL 14,15 59 25.40,-54 12 44.90,328.25,-0.85,WN6o,SMS99,,,,18.13,16.9,,,,,,,Nan,Nan,Nan,,,,
154,70-2,MV09,,,2MASS J15595671-5159299,15 59 56.71,-51 59 29.90,329.76,0.78,WN5-6b; WN5b,MV10; RC15,,,,,,,,,,,,10.875,9.523,8.659,,,,
598,70-9,MDM11,MDM11 17,,,16 00 23.26,-52 51 42.3,329.24,0.08,WC8,MDM11,,,,,,,,,,,,15.56,12.87,11.31,,,,
513,70-11,SFZ12,1042-25L,,,16 00 25.25,-52 03 29.6,329.77,0.68,WN8; WN7,SFZ12; RC15,,,,,,,,,,,,12.02,10.65,9.88,,,,
514,70-12,SFZ12,1038-22L,Mc70-7,,16 00 26.31,-52 11 10.73,329.69,0.58,WC7:,SFZ12; FNT15,,,,,,,,,,19.7,,11.53,10.2,9.29,Mc70,,7.9,FNT15
155,71,VII,HD 143414,HIP 78689,,16 03 49.35,-62 41 35.80,323.08,-7.61,WN6o,SSM96,"d.e.l., SB2?","LM87,CM89,SS96,MMH98,VII",10.01,10.18,10.23,10.22,9.34,10.05,10.11,,,9.48,9.306,9.088,,,,
669,71-1,KSF14,1040-B6C,,,16 04 03.76,-53 10 44.2,-30.549,-0.527,WN9,KSF14,,,,,,,,,,,,13.134,11.899,11.171,,,,
743,72-5,RC17,RC17 B132,,,16 07 01.45,-51 58 18.3,330.5909,0.0725,WN6o,RC17,,,,,,,,,,,,12.56,11.14,10.27,,,,
515,72-3,SFZ12; MDM11,SFZ12 1054-43L,MDM11 18,,16 10 06.26,-50 47 58.6,331.74,0.61,WC9; WC9d?,SFZ12; MDM11,,,,,,,,,,,,15.62,13.05,11.53,,,,
516,72-4,SFZ12,1051-67L,,,16 10 06.67,-51 47 24.5,331.07,-0.11,WC7:,SFZ12,,,,,,,,,,,,14.86,12.63,11.24,,,,
156,72-1,HD07,HDM6,,,16 11 39.27,-52 05 45.80,313.03,-0.5,WC9,HD07,,,,,,,,18.3,,15.3,,10.161,9.251,8.464,,,,
157,72-2,SM09,SMG09 1053_27,,2MASS J16114370-5110166,16 11 43.70,-51 10 16.60,331.67,0.17,WC8,SMG09,,,,,,,,,,18.53,,10.26,8.97,8.1,,,,
158,73,VII,NS 3,,NS 3,16 12 37.50,-46 37 35.00,334.89,3.38,WC9d,HH88,,,,16.43,15.2,14.81,,,,13.3,,10.318,8.793,7.468,,,,
159,73-1,SM09,SMG09 1059_34,,2MASS J16143723-5126263,16 14 37.23,-51 26 26.30,331.81,-0.34,WC8; WC7,SMG09; RC15,,,,,,,,,,,,15.05,12.79,11.57,,,,
160,74,VII,BP 1,,,16 16 13.70,-51 36 41.00,331.88,-0.64,WN7o,SSM96,,,,15.56,13.98,13.02,,,,,,9.727,9.224,8.798,,Nor OB4?,,
599,74-1,MDM11,MDM11 19,,,16 20 51.43,-50 04 03.3,333.48,-0.04,WN9ha,MDM11,,,,,,,,,,,,15.5,12.28,10.59,,,,
517,74-3,SFZ12,SFZ12 1077-55L,,,16 24 22.70,-49 00 42.3,334.63,0.3,WC6:,SFZ12,,,,,,,,,,,,15.15,13.13,11.97,,,,
600,74-2,MDM11,MDM11 20,,,16 24 23.29,-49 21 29.5,334.38,0.05,WN7,MDM11,,,,,,,,,,,,15.64,12.9,11.43,,,,
161,75,VII,HD 147419,TYC 8324 3694,,16 24 26.23,-51 32 06.10,332.84,-1.48,WN6b,SSM96,,,12.11,11.94,11.23,10.77,,11.46,10.85,,,8.601,8.244,7.837,,Nor OB4?,,
162,75-1,SM09,SMG09 1081_21,,2MASS J16245886-4856524,16 24 58.86,-48 56 52.40,334.75,0.27,WC8,SMG09,,,,,,,,18.5,,16.5,,13.28,11.76,10.73,,,,
744,75-31,RC17,RC17 A11,,,16 25 13.60,-48 58 22.3,334.7557,0.2255,WN7o,RC17,,,,,,,,,,,,15.28,13.34,12.21,,,,
164,75aa,VIIA,HBD 1,,SHS J162620.2-455946,16 26 20.2,-45 59 46.00,337.02,2.17,WC9d,HBD05; RC17,,,,,,,,17.5,,15.6,,12.027,10.732,9.459,,,,
163,75a,VII,SMSNPL 15,,SMSNPL 15,16 26 37.27,-50 19 22.80,333.95,-0.88,WC9,SM99,,,,16.04,14.51,,,17.1,,14.1,,9.963,9.183,8.5,,,,
518,75-14,SFZ12,SFZ12 1085-72L,,,16 27 42.39,-48 30 34.2,335.37,0.25,WC8-9; WC9,SFZ12; RC15,,,,,,,,,,,,14.5,12.37,11.21,,,,
165,75b,VII,SMSNPL 16,,SMSNPL 16,16 28 17.23,-48 17 40.8,335.59,0.33,WC9,SM99,,,,17.8,16.09,,,,,,,Nan,Nan,Nan,,,,
519,75-15,SFZ12,SFZ12 1085-69L,,,16 28 40.25,-48 18 12.9,335.63,0.28,WC8,SFZ12,,,,,,,,,,,,14.73,13.16,11.5,,,,
601,75-6,MDM11,MDM11 21,,,16 28 53.42,-48 33 39.4,335.47,0.08,WN5b,MDM11,,,,,,,,,,,,14.65,12.8,11.76,,,,
520,75-16,SFZ12,SFZ12 1085-83L,,,16 29 35.82,-48 19 34.2,335.72,0.15,WC8:,SFZ12,,,,,,,,,,,,16.7,13.49,11.83,,,,
644,75-25,CBB12,VVV CL073-2,,,16 30 23.73,-48 13 05.48,335.89,0.13,WN9/O4-6If+,CBB12,,,,,,,,,,,,15.4,12.51,11.08,VVV CL073,,4,CBB12
645,75-26,CBB12,VVV CL073-4,,,16 30 23.98,-48 13 05.48,335.89,0.13,WN7,CBB12,,,,,,,,,,,,14.71,11.53,9.5,VVV CL073,,4,CBB12
166,75-2,SM09,SMG09 1093_34,,2MASS J16312923-4756164,16 31 29.23,-47 56 16.40,336.22,0.19,WC8,SMG09,,,,,,,,,,,,15.56,12.86,11.32,,,,
167,75-3,SM09,SMG09 1093_33,,2MASS J16314906-4756044,16 31 49.06,-47 56 04.40,336.26,0.15,WC8,SMG09,,,,,,,,,,,,15.11,12.86,11.47,,,,
646,75-27,CBB12,VVV CL074-2,,,16 32 05.27,-47 49 14.25,336.38,0.2,WC8,CBB12,,,,,,,,,,,,16.92,13.23,10.31,VVV CL074,,6,CBB12
647,75-28,CBB12,VVV CL074-3,,,16 32 05.46,-47 49 28.10,336.37,0.2,WN8,CBB12,,,,,,,,,,,,14.72,11.82,10.17,VVV CL074,,6,CBB12
648,75-29,CBB12,VVV CL074-9,,,16 32 05.93,-47 49 30.92,336.37,0.19,WN7/O4-6If+,CBB12,,,,,,,,,,,,15.22,12.53,11.31,VVV CL074,,6,CBB12
168,75-4,SM09,SMG09 1093_53,WM10 16,,16 32 12.98,-47 50 35.80,336.37,0.17,WN5b,SMG09,,,,,,,,,,,,15,12.7,11.34,,,,
521,75-17,SFZ12,SFZ12 1093-138L,,,16 32 15.22,-47 56 12.7,336.31,0.1,WC8:,SFZ12,,,,,,,,,,,,16,14.17,12.75,,,,
602,75-7,MDM11,MDM11 22,,USNO 0422-0651194,16 32 22.05,-47 47 42.5,336.43,0.18,WC9,MDM11,,,,,,,,,,,,14.97,12.96,11.63,,,,
671,75-30,KSF14,1093-1765,RC17 A13,,16 32 25.70,-47 50 46.1,336.3959,0.1395,"WN6, WN7o","KSF14, RC17",,,,,,,,,,,,15.149,12.925,11.571,,,,
522,75-18 nbsp,ABK11,AX J163552-4746,SFZ 1093-140LB?,,16 32 48.55,-47 45 06.2,336.51,0.16,Ofpe/WN9; WN9,AGK11; SFZ12,,,,,,,,,,,,13.36,10.89,9.27,,,,
523,75-19,SFZ12,SFZ12 1093-140L,,,16 32 49.78,-47 44 31.4,336.52,0.16,WC7:,SFZ12,,,,,,,,,,,,16.15,13.97,12.28,,,,
603,75-8,MDM11,MDM11 23,,,16 33 11.20,-48 19 41.2,336.13,-0.28,WN4-5b; WN4b,MDM11; RC15,,,,,,,,,,,,15,12.44,10.9,,,,
524,75-20,SFZ12,SFZ12 1091-46L,,,16 33 14.06,-48 17 37.2,336.16,-0.26,WC8,SFZ12,,,,,,,,,,,,13.93,11.76,10.02,,,,
525,75-9,SFZ12; MDM11,SFZ12 1093-59L,MDM11 24,,16 33 45.45,-47 51 29.1,336.54,-0.03,WC9+late; WC8-9d?,SFZ12; MDM11,,,,,,,,,,,,15.56,12.98,11.41,,,,
526,75-21,SFZ12,SFZ12 1095-189L,,,16 33 48.13,-47 52 52.8,336.53,-0.05,WC7:,SFZ12,,,,,,,,,,,,10.43,9.62,9.35,,,,
169,75ab,VIIA,PCG1,,2MASS J16334874-4928439,16 33 48.74,-49 28 43.50,335.35,-1.14,WN7h,CPG05,,,,,,,,,,,,10.218,9.29,8.91,,,,
170,75c,VIIA,HBD 2,,SHS J163403.6-434025,16 34 03.60,-43 40 25.00,339.65,2.77,WC9,HBD05; RC17,,,,,,,,16.5,,14.2,13.12,11.625,11.123,10.522,,,,
171,75d,VIIA,HBD 3,,SHS J163417.5-460852,16 34 17.50,-46 08 52.00,337.86,1.06,WC9,HBD05,,,,,,,,17.1,,14.6,12.3,10.977,9.883,9.118,,,,
527,75-10,SFZ12; MDM11,SFZ12 1097-156L,MDM11 25,,16 34 57.45,-47 04 13.0,337.26,0.35,WN6; WN5-6b; WN6b,SFZ12; MDM11; RC15,,,,,,,,,,,,13.75,11.71,10.46,,,,
604,75-11,MDM11,MDM11 26,,,16 35 05.55,-47 17 13.5,337.11,0.19,WC9d?,MDM11,,,,,,,,,,,,13.6,11.62,10.46,,,,
172,75-5,SM09,SMG 09 1096_22,SFZ12 1095-98L,2MASS J16352331-4809180,16 35 23.21,-48 09 16.2,336.51,-0.43,WC8,"SMG09, SFZ12",,,,,,,,,,,,14.9,12.77,11.43,,,,
605,75-12,MDM11,MDM11 27,,,16 35 38.88,-47 09 13.0,337.27,0.21,WN6,MDM11,,,,,,,,,,,,15.02,12.85,11.49,,,,
529,75-22,SFZ12,SFZ12 1097-71L,,,16 35 44.37,-47 19 42.2,337.16,0.08,WC9,SFZ12,,,,,,,,,,,,15.28,13.72,12.04,,,,
530,75-13,SFZ12; MDM11,SFZ12 1097-34L,MDM11 28,,16 35 51.16,-47 19 51.3,337.166,0.064,WC8,"SFZ12, MDM11",,,,,,,,,,,,13.6,11.67,10.39,,,,
531,75-23,SFZ12,SFZ12 1106-31L,,,16 37 24.00,-46 26 28.6,338,0.47,WC9,SFZ12,,,,,,,,17.78,15.29,13.31,,10.27,9.59,8.93,,,,
532,75-24,SFZ12,SFZ12 1105-76L,,,16 38 20.18,-46 23 43.8,338.14,0.38,WC8,SFZ12,,,,,,,,,,,,14.77,12.74,11.48,,,,
173,76,VII,,,LSS 3693,16 40 05.25,-45 41 12.7,338.88,0.62,WC9d,HH88,,,,16.58,15.46,,,,,,,8.46,6.51,4.88,,,,
745,76-11,RC17,RC17 B154,,,16 40 12.92,-46 08 54.0,338.5451,0.2996,WN7o,RC17,,,,,,,,,,,,15.05,13.15,11.98,,,,
533,76-10,SFZ12,SFZ12 1109-74L,,,16 40 17.12,-46 20 09.7,338.41,0.17,WC7:,SFZ12,,,,,,,,,,,,16.92,13.1,11.25,,,,
635,76-2,"DFN12, FND12",Mercer 81-5,,,16 40 28.35,-46 23 25.6,338.4,0.1,WN7-8,FND12,,,,,,,,,,,,Nan,14.13,11.42,Mercer 81,,11,DFN12
638,76-3,DFN12; FND12,Mercer 81-8,,,16 40 28.94,-46 23 27.1,338.4,0.1,Of/WN; WN8,FND12; RC15,,,,,,,,,,,,Nan,14.27,11.46,Mercer 81,,11,DFN12
636,76-4,"DFN12, FND12",Mercer81-6,,,16 40 29.32,-46 23 11.6,338.4,0.1,O super; WN9ha,FND12; RC15,,,,,,,,,,,,Nan,13.46,11.42,Mercer 81,,11,DFN12
639,76-5,DFN12; FND12,Mercer 81-9,,,16 40 29.32,-46 23 38.2,338.4,0.1,O super; WN9ha,FND12; RC15,,,,,,,,,,,,Nan,13.76,11.82,Mercer 81,,11,DFN12
637,76-6,"DFN12, FND12",Mercer 81-7,,,16 40 29.60,-46 23 25.6,338.4,0.1,WN7-8,FND12,,,,,,,,,,,,Nan,13.55,11.45,Mercer 81,,11,DFN12
633,76-7,"DFN12, FND12",Mercer 81-2,,,16 40 29.65,-46 23 29.1,338.4,0.1,WN7-8,FND12,,,,,,,,,,,,Nan,13.25,10.59,Mercer 81,,11,DFN12
634,76-8,DFN12,Mercer 81-4,,,16 40 29.65,-46 23 28.7,338.4,0.1,WN7-8:,RC15 (DFN12),,,,,,,,,,,,Nan,13.44,10.95,Mercer 81,,11,DFN12
628,76-9,DFN12,Mercer 81-3,,,16 40 30.08,-46 23 11.4,338.4,0.1,WN7-8,DFN12,,,,,,,,,,,,Nan,12.97,10.82,Mercer 81,,11,DFN12
606,76-1,MDM11,MDM11 29,,,16 40 50.78,-45 51 23.1,338.84,0.41,WN9,MDM11,,,,,,,,,,,,14.84,12,10.42,,,,
174,77,VII,He3-1239,GSC 8330-4677,He3-1239,16 41 19.12,-48 01 59.60,337.26,-1.09,WC8+OB,CV90,"a, d.e.l.","CM89,CV90,SS90,VII",14.95,13.61,13,12.63,14.13,13.56,12.67,,,Nan,Nan,Nan,,Ara OB1b?,,
534,77-5,SFZ12,SFZ12 1115-197L,,,16 43 40.36,-45 57 57.5,339.08,-0.03,WN6,SFZ12,,,,,,,,18.2,16.73,14.59,,10.56,9.71,9.14,,,,
