#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference
584,20-1,MDM11,MDM 1,,,10 23 28.80,-57 46 29.4,284.22,-0.38,WN7-8,MDM11,,,,,,,,,,,,10.6,9.2,8.34,,,,
25,20a,VII,SMSP 2,,SMSP 2,10 23 58.00,-57 45 49.00,284.27,-0.34,WN7:h/C; O3If*/WN6+O3If*/WN6,SMS99; CW11,,,,15.52,14.14,,15.26,15,13.47,12.6,,8.858,8.083,7.588,Westerlund 2,,8,RSN11
26,20b,VII,SMSP 3,,SMSP 3,10 24 18.40,-57 48 30.00,284.33,-0.35,WN6ha,RSN11,,,,17.09,15.4,,,15.1,,12,,8.653,7.797,7.18,Westerlund 2,,8,RSN11
27,20-3,RBM11,WR20c,,,10 25 02.60,-57 21 47.30,284.18,-0.08,O2If*/WN6,RBM11,,,,,,,,18.03,17.26,,,10.51,9.57,9.04,,,,
29,21a,VII,1E 1024.0-5732,GSC 8608-0157,THA 35-II-42,10 25 56.49,-57 48 44.40,284.52,-0.24,O2If/WN5,MSA16,d.e.l.,"McB94,Re99",,,12.8,,,13,,11.6,,8.808,8.2,7.833,,,,
28,21,VII,HD 90657,HIP 51109,,10 26 31.42,-58 38 26.20,285.02,-0.9,WN5o+O4-6,SSM96,SB2,"NM82,SM89,LM96,MMH98,GN99,NG99a",10.15,10.03,9.76,9.58,9.53,10.16,9.71,,,8.414,8.217,8.033,,,,
30,22,VII,HD 92740,HIP 52308,HR 4188,10 41 17.52,-59 40 36.90,287.17,-0.85,WN7ha; WN7h+O9III-V,"SSM96; SS99,RV96",SB2,"CN79,SM89,GR91,RV96,MMH98,NG99a,SSS99",7.18,7.24,7.16,7.14,5.69,6.48,6.39,,,5.705,5.578,5.389,,Car OB1,2.3,Smi06
31,23,VII,,HIP 52331,HD 92809,10 41 38.33,-58 46 18.80,286.78,-0.03,WC6,VI,,NG99a,9.62,9.62,9.67,9.72,9.02,9.51,9.11,,,7.889,7.602,7.055,Bo10,Car OB1:,2.1,LS84
32,24,VII,HD 93131,HIP 52488,,10 43 52.27,-60 07 04.00,287.67,-1.08,WN6ha,SSM96,,"CN79,NG99a",,7.16,7.2,7.28,5.52,6.46,6.48,,,6.097,6.012,5.816,Collinder 228,Car OB1,2.3,Smi06
33,25,VII,HD 93162,PPM 339385,,10 44 10.39,-59 43 11.00,287.51,-0.71,O2.5If*/WN6+O,CW11; GGM06,SB1,GGM06,9.14,9.01,8.84,8.57,7.9,8.51,8.07,,,6.26,5.97,5.721,Trumpler 16,Car OB1,2.3,Smi06
34,26,VII,MS 1,,,10 44 32.08,-57 50 23.70,286.68,0.97,WN7b/CE,SSM96,,,15.85,15.53,14.61,13.91,,,,12.7,,10.838,10.272,9.675,,,,
35,27,VII,Ls 4,,Ls 4,10 44 38.07,-58 48 28.90,287.14,0.12,WC6+a,"VI,SS90","a, no d.e.l.","CM89,SS90,VII",,16.25,14.96,14.31,,,,14,,9.88,9.171,8.295,,,,
36,28,VII,MS 2,GSC 8626-1709,,10 48 58.68,-59 03 37.50,287.75,0.15,WN6(h)+OB?,SSM96,d.e.l.,"CM89,VII",14.27,13.77,13,12.35,,,,,,9.711,9.161,8.733,,,,
37,29,VII,MS 3,GSC 8957-2405,,10 50 46.30,-60 28 41.60,288.59,-1.01,WN7h+abs; WN7h+O,SSM96; NG99b,SB2,"NG99a,NG99b",13.74,13.3,12.65,12.17,,,,,,9.909,9.457,9.123,,,,
38,30,VII,,TYC 8961 618 1,HD 94305,10 51 06.01,-62 17 01.80,289.44,-2.61,WC6+O6-8,NM83,SB2,"NM83,SM89,Ni95,LM96",,12,11.73,,,,,,,10.055,9.763,9.21,,,,
39,30a,VII,MS 4,,MS 4,10 51 38.93,-60 56 35.20,288.9,-1.38,WO4+O5-5.5,"CDB98,GR00",SB2,"Ni95,GR99,GR00",,14.12,13.33,12.77,,,12.73,,,Nan,Nan,Nan,,,,
40,31,VII,HD 94546,HIP 53274,,10 53 44.83,-59 30 46.70,288.5,0.02,WN4o+O8V,SSM96,"SB2, VB","NM85,LM87,SM89,LM96,Hip97,GN99",,10.97,10.69,,10.38,10.95,10.56,,,9.172,8.962,8.688,,,,
41,31a,VII,He3-519,,He3-519,10 53 59.66,-60 26 44.30,288.94,-0.81,WN11h,SC94,,,,,,,,11.64,10.85,,,7.323,6.719,6.097,He 3-519,,8,SC94
42,31b,VII,,HIP 53461,AG Car,10 56 11.58,-60 27 12.80,289.18,-0.7,WN11h,SC94,VB,HL93,,,,,7,7.74,7.21,,,5.42,5.084,4.531,AG Car,,6,SC94
43,31c,VII,SMSP 4,,SMSP 4,10 57 43.00,-60 34 01.00,289.4,-0.72,WC6,"SM91,SMS99","a, d.e.l.","CM89,SS90,VII",,17.33,16.37,,,,,,,11.04,10.343,9.489,,,,
728,31-1,MSA16,THA 35-II-153,,,10 59 00.80,-60 08 50.24,289.79,-1.18,O3.5If/WN7,MSA16,,,,,,,,,13.3,,,9.47,8.97,8.65,,,,
44,32,VII,MS 5,,MS 5,10 59 52.94,-59 52 43.20,289.36,0.02,WC5+OB?,VI,d.e.l.,"CM89,SS90,VII",,17.19,15.9,15.06,,,,,,11.717,11.042,10.229,,,,
45,33,VII,HD 95435,GSC 8623-0928,,11 00 00.72,-57 48 59.50,288.51,1.9,WC5; WC6,SS90; CDB98,,,12.43,12.51,12.35,12.48,,,,,,10.62,10.348,9.693,,,,
46,34,VII,Ls 5,,,11 00 06.44,-61 26 29.90,290.03,-1.39,WN5o,SSM96,,,,15.26,14.5,,,,,,,11.204,10.586,10.036,,,,
47,35,VII,MS 6,,MS 6,11 00 22.10,-61 13 51.00,289.97,-1.19,WN6h+OB?,SSM96,d.e.l.,"CM89,VII",14.72,14.49,13.9,13.37,,,,,,Nan,Nan,Nan,,,,
48,35a,VII,SMSP 5,,SMSP 5,11 00 24.50,-59 59 36.00,289.46,-0.06,WN6h+O8.5V,SMS99; GCB14,SB2,GCB14,,14.78,13.92,,,,,,,10.467,9.975,9.649,,,,
49,35b,VII,SMSP 6,,SMSP 6,11 01 02.30,-60 14 01.00,289.63,-0.24,WN4b,SMS99,,,,15.76,14.49,,,,,,,10.949,10.351,9.757,Sher 1,,,
50,36,VII,Ls 6,GSC 8627-1968,,11 02 32.87,-59 26 21.50,289.48,0.56,WN5-6b+OB?,SSM96,d.e.l.,"CM89,VII",14.76,14.38,13.7,13.17,,,,,,Nan,Nan,Nan,,,,
51,37,VII,MS 7,,,11 05 13.92,-61 20 41.40,290.55,-1.05,WN4b,SSM96,,,17.77,17,15.77,14.86,,,,14.9,,11.027,10.339,9.672,,,,
52,38,VII,MS 8,,MS 8,11 05 46.52,-61 13 49.10,290.57,-0.92,WC4,VI,,,16.83,16.33,15.4,14.73,,,14.66,,,11.991,11.497,10.793,C1104-610a,,10,WG05
53,38a,VII,SMSP 7,,2 MASS J11054896-6113413,11 05 49.00,-61 13 41.00,290.57,-0.92,WN5o,SMS99,,,,17.04,16.21,,16.33,16.27,15.12,,,11.533,11.213,10.705,C1104-610a,,10,WG05
56,40,VII,HD 96548,HIP 54283,,11 06 17.21,-65 30 35.20,292.31,-4.83,WN8h,SSM96,,"DS87,GV90,MM94,AB95,MMH98,MMEv98,NG99a",7.79,7.79,7.6,7.51,7.1,7.86,7.69,,,6.622,6.407,6.107,,,,
54,38b,VII,SMSP 8,,SMSP 8,11 06 18.70,-61 14 13.00,290.629,-0.902,WC7,SM91; SMS99,"a, d.e.l.","CM89,SS90,VII",,17.71,16.21,,,,,,,10.395,9.276,8.608,C1104-610b ?,,10,WG05
55,39,VII,MS 9,,MS 9,11 06 18.70,-61 14 18.30,290.629,-0.903,WC7+OB?,SS90,d.e.l.,"CM89,SS90,VII",16.11,15.76,14.5,13.58,,,,,,Nan,Nan,Nan,C1104-610b ?,,10,WG05
57,41,VII,Ls 7,,Ls 7,11 07 54.05,-61 27 41.00,290.89,-1.03,WC5+OB?,SS90,d.e.l.,"CM89,SS90,VII",,15.6,14.8,14.36,,,,,,Nan,Nan,Nan,,,,
58,42,VII,,HIP 54574,HD 97152,11 10 04.09,-60 58 45.00,290.95,-0.49,WC7+O7V,HH88,SB2,"DM81,SD87,SM89,LM96,NG99a",,8.31,8.25,,7.44,8.18,8.05,,,7.589,7.519,7.084,,Car OB1 ?,,
59,42a,VII,SMSP 9,,SMSP 9,11 12 15.90,-61 05 04.00,291.23,-0.49,WN5b,SMS99,,,,19.07,17.61,,,,,16.2,,12.083,11.312,10.814,,,,
60,42b,VII,SMSP 10,,SMSP 10,11 13 03.80,-62 14 18.00,291.75,-1.52,WN4b,SMS99,,,,19.39,16.96,,,,,14.6,,11.349,10.521,9.9,,,,
61,42c,VII,SMSP 11,,SMSP 11,11 14 01.60,-61 03 47.00,291.42,-0.39,WN5o,SMS99,,,,17.92,16.56,,,,,14.9,,11.149,10.468,9.899,,,,
62,42d,VII,SMSP 12,,SMSP 12,11 14 38.80,-61 11 16.00,291.54,-0.48,WN5b,SMS99,,,,16.61,15.28,,,,,13.2,,10.2,9.518,8.909,,,,
640,42-1,RL12,WR42e,SB04 #954,RFS5,11 14 45.50,-61 15 00.1,291.57,-0.53,O3If*/WN6,RFS16,,,,,,,16.31,16.05,14.53,,12.05,10.18,9.47,9.04,NGC 3603,,,
