15 52 08.50,-54 16 58.0
15 53 31.85,-53 45 44.3
15 58 49.71,-52 51 32.4
15 58 54.93,-52 02 45.5
15 58 57.97,-52 46 05.4
15 59 25.40,-54 12 44.90
15 59 56.71,-51 59 29.90
16 00 23.26,-52 51 42.3
16 00 25.25,-52 03 29.6
16 00 26.31,-52 11 10.73
16 03 49.35,-62 41 35.80
16 04 03.76,-53 10 44.2
