16 07 01.45,-51 58 18.3
16 10 06.26,-50 47 58.6
16 10 06.67,-51 47 24.5
16 11 39.27,-52 05 45.80
16 11 43.70,-51 10 16.60
16 12 37.50,-46 37 35.00
16 14 37.23,-51 26 26.30
16 16 13.70,-51 36 41.00
16 20 51.43,-50 04 03.3
16 24 22.70,-49 00 42.3
16 24 23.29,-49 21 29.5
16 24 26.23,-51 32 06.10
16 24 58.86,-48 56 52.40
16 25 13.60,-48 58 22.3
16 26 20.2,45 59 46.00
16 26 37.27,-50 19 22.80
16 27 42.39,-48 30 34.2
16 28 17.23,-48 17 40.8
16 28 40.25,-48 18 12.9
16 28 53.42,-48 33 39.4
16 29 35.82,-48 19 34.2
16 30 23.73,-48 13 05.48
16 30 23.98,-48 13 05.48
16 31 29.23,-47 56 16.40
16 31 49.06,-47 56 04.40
16 32 05.27,-47 49 14.25
16 32 05.46,-47 49 28.10
16 32 05.93,-47 49 30.92
16 32 12.98,-47 50 35.80
16 32 15.22,-47 56 12.7
16 32 22.05,-47 47 42.5
16 32 25.70,-47 50 46.1
16 32 48.55,-47 45 06.2
16 32 49.78,-47 44 31.4
16 33 11.20,-48 19 41.2
16 33 14.06,-48 17 37.2
16 33 45.45,-47 51 29.1
16 33 48.13,-47 52 52.8
16 33 48.74,-49 28 43.50
16 34 03.60,-43 40 25.00
16 34 17.50,-46 08 52.00
16 34 57.45,-47 04 13.0
16 35 05.55,-47 17 13.5
16 35 23.21,-48 09 16.2
16 35 38.88,-47 09 13.0
16 35 44.37,-47 19 42.2
16 35 51.16,-47 19 51.3
16 37 24.00,-46 26 28.6
16 38 20.18,-46 23 43.8
16 40 05.25,-45 41 12.7
16 40 12.92,-46 08 54.0
16 40 17.12,-46 20 09.7
16 40 28.35,-46 23 25.6
16 40 28.94,-46 23 27.1
16 40 29.32,-46 23 11.6
16 40 29.32,-46 23 38.2
16 40 29.60,-46 23 25.6
16 40 29.65,-46 23 29.1
16 40 29.65,-46 23 28.7
16 40 30.08,-46 23 11.4
16 40 50.78,-45 51 23.1
16 41 19.12,-48 01 59.60
16 43 40.36,-45 57 57.5
16 44 10.69,-45 24 24.60
16 46 46.30,-45 47 58.00
16 46 53.42,-45 35 59.00
16 46 55.55,-45 51 35.00
16 46 59.90,-45 55 26.00
16 47 00.88,-45 51 20.80
16 47 01.59,-45 51 45.50
16 47 02.47,-45 51 00.10
16 47 02.98,-45 50 20.00
16 47 03.25,-45 50 43.80
16 47 03.81,-45 50 38.80
16 47 03.96,-45 51 37.80
16 47 04.01,-45 51 25.20
16 47 04.19,-45 51 07.40
16 47 04.22,-45 51 20.20
16 47 04.40,-45 51 03.80
16 47 05.22,-45 52 25.00
16 47 05.36,-45 51 05.00
16 47 06.05,-45 52 08.20
16 47 06.07,-45 50 22.60
16 47 06.24,-45 51 26.50
16 47 06.55,-45 50 39.00
16 47 07.58,-45 49 22.20
16 47 07.66,-45 52 35.90
16 47 08.32,-45 50 45.50
16 47 14.10,-45 48 32.00
16 47 46.03,-45 59 04.9
16 48 27.58,-46 09 27.1
16 50 57.60,-43 40 28.00
16 51 19.32,-43 26 55.3
16 51 29.69,-43 53 35.3
16 52 19.25,-41 51 16.20
16 54 08.46,-43 49 25.3
16 54 19.70,-41 49 11.50
16 54 58.51,-41 09 03.10
16 55 06.45,-44 59 21.40
16 59 02.20,-45 43 06.00
17 02 40.39,-45 59 15.50
17 04 04.61,-45 12 15.00
17 07 23.95,-39 19 54.4
17 09 32.64,-41 29 47.3
17 10 54.50,-46 36 18.00
17 11 00.84,-39 49 31.2
17 11 21.70,-39 53 22.20
17 11 28.52,-39 13 16.8
17 11 31.80,-39 10 46.8
17 11 31.88,-39 10 46.9
17 11 33.03,-39 10 39.7
17 11 36.12,-39 11 07.9
17 11 46.14,-39 20 27.7
17 12 34.87,-40 37 13.8
17 14 09.56,-38 11 20.9
17 14 24.71,-38 09 49.35
17 14 25.42,-38 09 50.40
17 14 25.66,-38 09 53.72
17 14 27.13,-39 45 47.00
17 15 55.9,37 19 12.0
17 18 23.06,-34 24 30.60
17 18 49.50,-33 57 39.80
17 18 52.89,-38 50 04.50
17 19 00.52,-38 48 51.20
17 19 29.90,-45 38 23.80
17 20 22.00,-38 56 47.00
17 22 40.74,-35 04 52.90
17 25 08.88,-34 11 12.80
17 25 23.15,-43 29 31.90
17 30 56.80,-26 59 10.00
17 32 03.30,-35 04 32.50
17 33 07.14,-33 38 23.70
17 33 33.22,-32 36 16.4
17 36 19.76,-33 26 10.90
17 36 24.20,-32 54 29.00
17 36 53.62,-34 02 36.80
17 37 13.75,-33 27 55.90
17 40 59.35,-32 11 22.3
17 41 12.90,-30 32 29.00
17 41 13.51,-30 03 41.1
17 42 09.77,-32 33 24.70
17 44 06.89,-30 01 13.2
17 45 06.91,-29 12 02.1
17 45 08.90,-29 12 18.00
17 45 09.10,-31 50 16.00
17 45 09.74,-29 14 14.6
17 45 16.10,-28 49 09.0
17 45 16.70,-28 58 24.00
17 45 19.16,-29 03 21.78
17 45 21.85,-29 11 59.5
17 45 22.60,-28 58 44.00
17 45 28.60,-28 56 05.00
17 45 32.48,-29 04 58.2
17 45 36.12,-28 56 38.70
17 45 39.30,-29 00 30.68
17 45 39.38,-29 00 33.43
17 45 39.45,-29 00 31.67
17 45 39.54,-29 00 35.01
17 45 39.64,-29 00 27.33
17 45 39.70,-29 00 29.75
17 45 39.73,-29 00 26.51
17 45 39.73,-29 00 23.17
17 45 39.75,-29 00 25.25
17 45 39.78,-29 00 29.65
17 45 39.79,-29 00 29.59
17 45 39.79,-29 00 29.63
17 45 39.79,-29 00 29.52
17 45 39.80,-29 00 29.84
17 45 39.80,-29 00 29.48
17 45 39.85,-29 00 22.11
17 45 39.86,-29 00 24.30
17 45 39.91,-29 00 26.69
17 45 39.92,-29 00 18.08
17 45 39.96,-29 00 26.04
17 45 40.04,-29 00 26.89
17 45 40.09,-29 00 31.22
17 45 40.12,-29 00 29.08
17 45 40.12,-29 00 27.62
17 45 40.14,-29 00 16.42
17 45 40.16,-29 00 21.61
17 45 40.18,-29 00 29.25
17 45 40.22,-29 00 30.84
17 45 40.25,-29 00 33.72
17 45 40.25,-29 00 27.07
17 45 40.26,-29 00 29.29
17 45 40.26,-29 00 24.64
17 45 40.36,-29 00 36.13
17 45 40.36,-29 00 22.76
17 45 40.4,29 00 16
17 45 40.44,-29 00 27.53
17 45 40.47,-29 00 36.27
17 45 40.49,-29 00 22.8
17 45 40.55,-29 00 28.60
17 45 40.76,-29 00 27.79
17 45 42.47,-28 52 53.3
17 45 47.00,-26 10 29.00
17 45 48.48,-28 49 40.5
17 45 48.55,-28 50 05.9
17 45 49.69,-28 49 25.8
17 45 50.06,-28 49 26.5
