source_id,r_est,r_lo,r_hi
4259860203259460096,2739.98196279657,1324.884424308,5106.49207847572
4259973899644197888,2629.24709453534,1359.6502011805,4842.27786813339
4258708739726994304,1629.77711659912,1192.50426575901,2503.19147350226
4258712759816413056,724.852026434431,692.020296040561,760.891489939688
4260273477903658880,2862.96329650723,1460.41220420158,5141.57740626946
4260304573468164224,1431.95629625343,558.246882448003,3639.82536636458
4266350792207816576,3771.13733281257,2518.36219504245,5822.67411681312
4259137514883984768,3445.14981219155,1942.03851775113,5867.4515228221
4266316844785357568,1791.25097198912,1044.46283646185,3648.41878477891
4259226948995826048,3742.85592236679,2144.59008676637,6240.93491458573
4266057119520573952,1097.15278980285,570.883812531183,3211.47693399586
4259239627728855680,1932.58296778169,769.235177574232,4274.69982032181
4266537159425659008,1643.99284622714,1269.36903828553,2297.19217417689
4266095666860507520,1720.65554274706,1087.88558625616,3306.94024556503
4266466511499861248,1628.86131010402,799.707989870698,3701.14780553596
4266952014602177920,3243.89424639763,2812.1773931139,3819.6334190123
4266300146008549376,3620.60601461964,2120.25749995816,5936.40447274064
4266897863654750720,1530.67303782216,497.34538977343,3661.57142528391
4266263411103249920,2488.79537570222,1192.87481330711,4703.63323195543
4266261834876674816,3153.28661710976,1772.57904504194,5406.01285264366
4266994758119500160,3103.34870032964,1800.50184708515,5223.9637418717
4267051799580151808,1088.36544080881,537.115919369577,3140.33828028341
4267050936290107776,2876.72102545054,1747.1522397913,4890.83504682299
4280880284307440384,2381.17256010228,1220.85749079442,4401.33727558845
4280880249954546176,2604.83982595138,1359.0056820764,4673.46743000716
4265816429591726848,5129.18823930195,4099.695324244,6666.55091519485
4281259684540632576,2421.92850258058,1189.0004605323,4495.9789846585
4281254672310044800,1856.51203367452,751.673066172808,3880.00781297716
4306688266055108480,2774.02383820885,1691.92068097678,4748.46833120531
4260766303938510464,3187.71647517787,1474.86054892763,6322.21568987893
4305834323474854144,2211.09599859528,1729.18903899809,3009.712842303
4306773031531725312,666.889858835105,653.481675638139,680.849449479828
4307367180121252864,3776.01787854991,2556.28060670031,5832.69030291409
4309176976263877888,4530.05342418029,2925.4089176204,6989.25898586869
4309211331708602240,2863.66642750456,1456.47250033619,5238.60976039787
4307599172775217664,642.844325005453,446.665949167479,1143.02595883604
4513494205567536512,6203.00109230939,5080.61533834951,7824.7750802235
4309265830540509312,2127.59672106983,844.474649203094,4463.49245378191
4309265864900247424,3306.84547627291,1888.09672406375,5671.22841419614
4309255969294946944,2657.85374134766,1203.56126310421,5076.62855214867
4312879684767976832,673.312947415017,654.332688865251,693.406120534338
4312977472562103040,2510.19442514405,1080.27130678858,4967.43847863665
4312807426235361664,3193.85930614327,1665.44947437616,5694.86362567548
4319236236367451264,5678.02323581042,3819.37631773369,8420.4780793728
4312968710827045120,1205.90591612333,679.738903014447,3207.5053104524
4319502902284779392,3913.909453853,2354.25666723739,6446.02364223669
4309889833453016064,3691.98460859861,2103.94093784109,6219.44006923424
4319406076548902784,4064.84263347744,2425.43355955227,6647.09745752153
4315954572104614400,3798.88414030005,2185.30072728287,6348.41905726417
4319820214453610624,3374.27186863643,1958.56794283586,5810.38442160935
4319423252107433216,4456.17712018793,2715.38435678676,7098.06113609363
4319179061744936192,2225.80058957568,840.592442860545,4664.66586460692
4319620373924501120,4317.19689119484,2658.15128745,6881.52687675999
4319831724981614208,4724.90653769959,2965.33271968772,7367.49342789078
4322765389497405952,3355.18933894495,2088.57517324798,5621.04610522932
4322565798082824832,752.800318428337,533.066918686165,1273.5381682558
4322817483169888512,9269.24061509031,6976.02584027501,12338.4952635804
4321618083470555264,2706.31610728189,1470.53997384417,5035.36254380768
4515628288919542784,3575.10313545572,2955.99837456521,4481.76023471418
4323004979954775552,4710.74127984937,2981.36792355933,7312.08145698036
4323329443281542528,5130.62729273791,3851.20295401837,7134.2122559489
4323332329499518848,4060.40029543647,3108.18080569381,5604.48949243048
1825418588978011648,6773.42851949345,5532.25414018554,8535.67373823351
2022054350800575488,9251.94074022163,7600.99016575921,11589.9734887348
2028294667765054464,3119.90154489996,2880.55660416106,3401.40133133839
2032145466709678464,5911.18228078902,5022.28486226091,7142.09586632001
1821509378448652416,2925.38344973182,2594.55569967382,3348.44442902255
2030934212864924032,10117.9808646712,7405.84719927361,13809.1996087839
